vmag,ra,de,pmRa,pmDe,sRgbR,sRgbG,sRgbB
6.35,1.097,4.908333,0.022,-0.121,0.9761498,0.9905277,1.16955
7.25,1.097611,4.909444,0.029,-0.119,1.028574,0.9858926,1.060716
6.12,1.093556,-9.979167,-0.034,-0.033,1.307917,0.9447668,0.6440313
6.43,1.116722,56.935,0.1,-0.11,1.407792,0.9255665,0.539732
5.58,1.101417,-9.839444,0.03,0.004,0.8209915,0.9950778,1.582768
6.38,1.119306,53.49833,0.023,-0.001,1.302141,0.9458218,0.6506131
6.12,1.109333,12.95611,0.019,0.023,1.279166,0.9499515,0.6774598
6.14,1.102139,-23.9925,-0.031,-0.041,1.354547,0.9360177,0.5931965
5.17,1.137889,54.92028,3.424,-1.596,1.130354,0.9736445,0.8817036
3.31,1.101389,-46.71861,-0.027,-0.001,1.239485,0.9568162,0.7264869
6.61,1.107361,-35.66083,0.069,-0.023,0.8715355,0.9953564,1.430662
5.03,1.133583,43.94194,0.165,-0.07,0.8594694,0.9954634,1.465249
6.37,1.120306,-23.99639,0.098,-0.036,0.9091193,0.9943857,1.329262
5.79,1.142583,58.26361,0.007,-0.005,0.8136278,0.9948701,1.606589
6.25,1.133694,32.01222,0.204,-0.03,0.9854823,0.9897984,1.149222
5.55,1.132556,20.73917,0.087,-0.094,0.8674873,0.9954039,1.442151
5.82,1.1295,-9.785556,0.152,0.017,0.9996489,0.9886097,1.119177
5.52,1.1395,5.649722,-0.264,-0.185,0.957758,0.9918342,1.210907
5.21,1.129972,-41.48694,0.038,0.01,0.8797096,0.9952256,1.40781
5.37,1.121861,-61.77528,0.073,-0.012,1.233874,0.9577577,0.733708
5.64,1.204639,79.67389,0.091,-0.005,0.8209915,0.9950778,1.582768
3.45,1.143167,-10.18222,0.218,-0.138,1.395897,0.9279408,0.5512831
4.25,1.158389,47.24194,0.01,-0.009,0.792227,0.9940051,1.678416
5.29,1.177583,68.77861,0.036,-0.031,0.8099886,0.9947508,1.618527
2.06,1.162194,35.62056,0.178,-0.114,1.647506,0.8738905,0.3449722
3.92,1.13975,-55.24583,0.019,0.025,0.788763,0.9938273,1.690417
5.55,1.163667,19.65861,-0.006,0.009,1.130354,0.9736445,0.8817036
5.65,1.171889,42.08139,-0.133,-0.043,1.08357,0.9797518,0.959243
5.8,1.172056,25.45778,0,-0.114,1.580958,0.888976,0.3916917
